ï»¿CTRY12CD,CTRY12NM,CTRY12NMW
E92000001,England,Lloegr
N92000002,Northern Ireland,Gogledd Iwerddon
S92000003,Scotland,Yr Alban
W92000004,Wales,Cymru
L93000001,Channel Islands,
M83000003,Isle of Man,
