#JUST SAMPLE DATA

"BB1  1BN","BB1 1BN","199612","","3687","04278","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMA","E00063404","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368724","0427845","E00063404","E01012572","E02002621","E56000018","QE1"
"BB1  1BP","BB1 1BP","198001","200411","3686","04275","E99999999","324","E06000008","E05011511","1","5","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368600","0427500","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BQ","BB1 1BQ","198001","","3690","04277","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE08","LSFE08","1","00EXMA","E00063408","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","369090","0427739","E00063408","E01012572","E02002621","E56000018","QE1"
"BB1  1BS","BB1 1BS","199201","","3687","04274","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368756","0427486","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BT","BB1 1BT","199308","","3686","04274","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368699","0427498","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BU","BB1 1BU","199308","","3687","04274","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368731","0427450","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BW","BB1 1BW","199201","","3686","04274","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE10","LSFE10","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368685","0427435","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BX","BB1 1BX","199201","","3687","04274","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE10","LSFE10","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368778","0427417","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BY","BB1 1BY","199201","199512","3688","04274","E99999999","324","E06000008","E05011511","0","8","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE10","LSFE10","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368800","0427400","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1BZ","BB1 1BZ","199201","","3686","04275","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368634","0427511","E00063672","E01012629","E02002620","E56000018","QE1"
